,AUX OBJ,AUX OBJ JCT,AUX SUBJ JCT,AUX SUBJ JCT JCT,AUX SUBJ OBJ,AUX SUBJ OBJ JCT,AUX SUBJ OBJ JCT JCT,AUX SUBJ OBJ OBJ,COM JCT,COM JCT JCT,COM OBJ JCT,COM SUBJ AUX JCT,COM SUBJ AUX OBJ,COM SUBJ AUX OBJ JCT,COM SUBJ JCT,COM SUBJ JCT JCT,COM SUBJ OBJ,COM SUBJ OBJ JCT,COMP,JCT,JCT COMP,JCT CONJ,JCT JCT,JCT JCT CONJ,JCT OBJ,JCT OBJ JCT,JCT SUBJ,JCT SUBJ OBJ,LINK,LINK AUX SUBJ,LINK AUX SUBJ JCT,LINK AUX SUBJ JCT JCT,LINK AUX SUBJ OBJ,LINK AUX SUBJ OBJ JCT,LINK JCT,LINK SUBJ,LINK SUBJ AUX OBJ,LINK SUBJ AUX OBJ JCT,LINK SUBJ JCT,LINK SUBJ OBJ,LINK SUBJ OBJ JCT,OBJ,OBJ JCT,OBJ JCT JCT,OBJ OBJ,SRL OBJ,SUBJ,SUBJ AUX,SUBJ AUX JCT,SUBJ AUX JCT JCT,SUBJ AUX OBJ,SUBJ AUX OBJ JCT,SUBJ AUX OBJ JCT JCT,SUBJ JCT,SUBJ JCT CONJ,SUBJ JCT JCT,SUBJ JCT OBJ,SUBJ OBJ,SUBJ OBJ JCT,SUBJ OBJ JCT JCT,SUBJ OBJ OBJ,SUBJ XCOMP,XCOMP
have,4.0,5.0,1.0,2.0,75.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,23.0,7.0,0.0,0.0,15.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,4.0,22.0,0.0,12.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,54.0,32.0,8.0,4.0,0.0,1.0,13.0,60.0,12.0,2.0,0.0,7.0,0.0
put,0.0,6.0,0.0,0.0,4.0,25.0,9.0,1.0,0.0,0.0,15.0,0.0,2.0,4.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,4.0,0.0,2.0,8.0,18.0,140.0,39.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,31.0,7.0,1.0,0.0,0.0,0.0,2.0,16.0,6.0,2.0,0.0,0.0
come,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,14.0,151.0,15.0,6.0,16.0,5.0,4.0,1.0,3.0,1.0,10.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,9.0,1.0,5.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0
sit,0.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,7.0,5.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,74.0,2.0,7.0,33.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,10.0,7.0,0.0,0.0,0.0,14.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
take,0.0,2.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,21.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,9.0,1.0,0.0,0.0,0.0
give,0.0,0.0,0.0,0.0,2.0,1.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,8.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,0.0,0.0
go,2.0,0.0,7.0,1.0,3.0,0.0,0.0,0.0,8.0,0.0,3.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,30.0,2.0,5.0,2.0,1.0,2.0,2.0,113.0,0.0,0.0,14.0,3.0,0.0,3.0,0.0,6.0,11.0,0.0,0.0,7.0,2.0,1.0,5.0,11.0,0.0,0.0,0.0,2.0,1.0,11.0,4.0,4.0,0.0,0.0,30.0,6.0,11.0,0.0,7.0,4.0,0.0,0.0,4.0,0.0
get,1.0,2.0,2.0,2.0,17.0,13.0,0.0,0.0,1.0,2.0,1.0,2.0,5.0,4.0,0.0,2.0,13.0,7.0,1.0,10.0,0.0,3.0,18.0,4.0,1.0,0.0,0.0,6.0,0.0,1.0,8.0,3.0,11.0,2.0,0.0,2.0,3.0,1.0,3.0,16.0,6.0,29.0,14.0,2.0,2.0,13.0,2.0,0.0,6.0,1.0,13.0,5.0,0.0,5.0,0.0,2.0,3.0,68.0,27.0,2.0,3.0,37.0,9.0
play,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
break,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
